launch,partner,category,shape,title,handle,score,partner_rank,price_usd,colour,family,why,exclude,collections,created
wave1-B,pooja,band,oval,1 TO 5 CT Lab Grown Oval Cut Diamond Peyton East-West Solitaire Ring in 10K/14K/18K Gold with Wide Rounded Polished Band,1-to-5-ct-lab-grown-oval-cut-diamond-peyton-east-west-solitaire-ring-in-10k-14k-18k-gold-with-wide-rounded-polished-band-pooja-diamonds-igi-certified-lab-diamond,38,,1550,,peyton east west solitaire with wide rounded polished band,oval +22; east-west +8; solitaire +6,,lab-grown-diamond-rings,2026-01-26
wave1-B,pooja,band,oval,1 To 5 Ct Amelie Oval Cut Three Stone Lab Grown Diamond Ring with Pave Band in 10K/14K/18K Gold,1-to-5-ct-amelie-oval-cut-three-stone-lab-grown-diamond-ring-with-pave-band-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,35,,1100,,amelie three stone with pave band,oval +22; three stone +8; pave +3,,lab-grown-diamond-rings,2026-02-13
wave1-B,pooja,band,oval,1 TO 5 CT Lab Grown Oval Cut Diamond Peyton 4mm Satin Finish Solitaire Ring in 10K/14K/18K Gold with Brushed Wide Band,1-to-5-ct-lab-grown-oval-cut-diamond-peyton-4mm-satin-finish-solitaire-ring-in-10k-14k-18k-gold-with-brushed-wide-band-igi-certified-lab-diamond,35,,1250,,peyton mm satin finish solitaire with brushed wide band,oval +22; solitaire +6; wide band +5,,lab-grown-diamond-rings,2026-01-26
wave1-B,pooja,band,round,1 To 5 Ct Amelie Round Cut Three Stone Lab Grown Diamond Ring with Pave Band in 10K/14K/18K Gold,1-to-5-ct-amelie-round-cut-three-stone-lab-grown-diamond-ring-with-pave-band-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,33,,1100,,amelie three stone with pave band,round +20; three stone +8; pave +3,,lab-grown-diamond-rings,2026-02-13
wave1-B,pooja,band,round,1 TO 5 CT Lab Grown Round Cut Diamond Peyton 4mm Satin Finish Solitaire Ring in 10K/14K/18K Gold with Brushed Wide Band,1-to-5-ct-lab-grown-round-cut-diamond-peyton-4mm-satin-finish-solitaire-ring-in-10k-14k-18k-gold-with-brushed-wide-band-igi-certified-lab-diamond,33,,1250,,peyton mm satin finish solitaire with brushed wide band,round +20; solitaire +6; wide band +5,,lab-grown-diamond-rings,2026-01-26
wave1-B,pooja,band,oval,1 To 5 Ct Hudson Oval Cut Three Stone Lab Grown Diamond Ring with Engraved Band in 10K / 14K / 18K Gold,1-to-5-ct-hudson-oval-cut-three-stone-lab-grown-diamond-ring-with-engraved-band-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,32,,1100,,hudson three stone with engraved band,oval +22; three stone +8,,lab-grown-diamond-rings,2026-03-12
wave1-B,pooja,band,emerald,1 TO 5 CT Lab Grown Emerald Cut Diamond Peyton East-West Solitaire Ring in 10K/14K/18K Gold with Wide Rounded Polished Band,1-to-5-ct-lab-grown-emerald-cut-diamond-peyton-east-west-solitaire-ring-in-10k-14k-18k-gold-with-wide-rounded-polished-band-pooja-diamonds-igi-certified-lab-diamond,32,,1550,,peyton east west solitaire with wide rounded polished band,emerald +16; east-west +8; solitaire +6,,lab-grown-diamond-rings,2026-01-26
wave1-B,pooja,band,emerald,Emerald Cut Lab Grown Diamond Full Eternity Ring in Gold,lab-grown-diamond-eternity-wedding-band-in-yellow-gold,32,,2200,,full eternity,emerald +16; bezel +10; solitaire +6,,lab-grown-diamond-rings,2025-12-13
wave1-B,pooja,band,round,1 To 5 Ct Hudson Round Cut Three Stone Lab Grown Diamond Ring with Engraved Band in 10K / 14K / 18K Gold,1-to-5-ct-hudson-round-cut-three-stone-lab-grown-diamond-ring-with-engraved-band-in-10k-14k-18k-gold-pooja-diamond-igi-certified-lab-diamond,30,,1100,,hudson three stone with engraved band,round +20; three stone +8,,lab-grown-diamond-rings,2026-03-12
wave1-B,pooja,band,radiant,1 TO 5 CT Lab Grown Radiant Cut Diamond Peyton East-West Solitaire Ring in 10K/14K/18K Gold with Wide Rounded Polished Band,1-to-5-ct-lab-grown-radiantcut-diamond-peyton-east-west-solitaire-ring-in-10k-14k-18k-gold-with-wide-rounded-polished-band-pooja-diamonds-igi-certified-lab-diamond,30,,1550,,peyton east west solitaire with wide rounded polished band,radiant +14; east-west +8; solitaire +6,,lab-grown-diamond-rings,2026-01-26
